Forecast Date,Quarter being forecasted,PCE,PCE Goods,PCE Services,GPDI,Fixed Investment,Business Fixed Investment,Equipment,Intellectual Property Products,Structures,Residential,Government,Federal Govt,S&L,Imports,Goods imports,Services imports,Exports,Goods exports,Services exports,"Net Exports (current, $Bil 2009)","Net Exports (previous, $Bil 2009)",Change in net exports ($Bil 2009),Previous change in private inventories ($Bil 2009),Current change in private inventories ($Bil 2009),Change in inventory investment ($Bil 2009),GDP Nowcast,Final Sales,Final Sales to Domestic Purchasers,Final Sales to Private Domestic Purchasers,Advance Estimate From BEA,Publication Date of Advance Estimate,Days until advance estimate,Forecast Error,Data releases
2024-02-01,2024-03-31,4.900395842936778,7.501381539945795,3.633662895580736,1.6774468556921551,2.868641890861401,3.1039728298109415,1.5220224046796682,5.364778831014005,1.7402976887006094,2.068881349171048,2.517813304726335,2.865188248202921,2.3102990907618137,2.0877931278439066,3.2632383084994165,-2.9300776237622173,4.264861534006004,6.060488347697834,0.8029927697006167,-899.4168001022763,-908.194,8.777199897723676,76.17087082459219,65.36189523834173,-10.808975586250455,4.223446321049407,4.443591687220461,4.14662066773388,4.482043475023678,1.58969,2024-04-25,84,-2.6337563210494066,"ISM Manufacturing Index, Construction spending"
2024-02-02,2024-03-31,3.3299776119338986,3.688937086971622,3.153079310457785,3.1990933109777187,2.3359678574417897,2.495340722250994,0.10690746048671596,6.03923899019867,0.2576913150467597,1.7936927328556784,2.3780237727022424,2.865188248202921,2.0872405182082776,0.3419802980599851,1.1024520098012136,-2.9300776237622173,2.5864320213183856,3.503072804330265,0.8029927697006167,-894.8958268198469,-908.194,13.298173180153071,75.16252956991643,83.78950663669006,8.626977066773634,3.471310936557659,3.320841368406424,2.9986562206326672,3.1259055126079405,1.58969,2024-04-25,83,-1.8816209365576588,"Emp situation, M3-2 Manufacturing, Auto sales "
2024-02-05,2024-03-31,3.3372726181828183,3.7021804244928846,3.1574486862850693,3.2071525334485207,2.344134897951977,2.5032867729732455,0.12085915710948747,6.039432918776777,0.2689790472741871,1.802609660026122,2.3784329173986762,2.865188248202921,2.087893180164202,0.352286052352202,1.1151888098806184,-2.9300776237622173,2.5981085303105056,3.520809912578149,0.8029927697006167,-894.9117135552815,-908.194,13.282286444718466,75.16252956991643,83.78950663669006,8.626977066773634,3.4775957527332757,3.3271410145472746,3.004925919732071,3.133380106081729,1.58969,2024-04-25,80,-1.8879057527332757,ISM Nonmanufacturing Index
2024-02-07,2024-03-31,3.2531610263531574,3.697793155467366,3.0341443392034373,3.151059144498314,2.2872912937767387,2.430541182943635,-0.0733119528139703,6.039213853231917,0.27051049949120554,1.7997490638283153,2.378459542623146,2.865188248202921,2.0879356523944237,0.968428278629152,1.1716763147284315,0.08409388515850935,3.2197290971199832,3.340442802745036,2.9828360561940492,-896.3336467001461,-908.194,11.860353299853841,75.16252956991643,83.78950663669006,8.626977066773634,3.3929987211603674,3.2423444497936105,2.9398159643474697,3.0548819058464183,1.58969,2024-04-25,78,-1.8033087211603673,International trade
2024-02-08,2024-03-31,3.249362101830733,3.6925416615577245,3.0310592252562385,3.345598873846223,2.266880287467421,2.4447303153811273,-0.037275161731076256,6.039041292731362,0.27352239014324375,1.6619173747567606,2.378484599667474,2.865188248202921,2.087975623087579,0.9909613834715447,1.198242301702157,0.08915147641657128,3.231002239302505,3.3556306941848746,2.9864370184746303,-896.4564523509624,-908.194,11.737547649037538,73.5197399882991,84.16368472980847,10.643944741509372,3.4231046050467784,3.234282043998249,2.9338318251553197,3.0476630126235804,1.58969,2024-04-25,77,-1.8334146050467783,Wholesale trade
2024-02-12,2024-03-31,3.248062194682788,3.690556695436631,3.0300959658850823,3.3591865861521963,2.2665237133966842,2.4453254453718154,-0.034858966694639726,6.038553579152595,0.27299464666135087,1.6583329085864351,2.3821253267183984,2.8749945462299475,2.0879467287583164,0.9933953614069013,1.2012799458633872,0.0889698847629683,3.232531954045381,3.358019301555637,2.986283552468172,-896.46778475089,-908.194,11.726215249109941,73.5197399882991,84.2953722664436,10.7756322781445,3.425103208200597,3.233805412663915,2.933535148600397,3.046557314430909,1.58969,2024-04-25,73,-1.8354132082005972,Monthly Treasury Statement
2024-02-13,2024-03-31,3.248010319711647,3.690480588442435,3.0300559989513642,3.3625692132426055,2.2665687716228344,2.445398137147947,-0.03467999828868917,6.038549678143923,0.27302432612841265,1.658284242706487,2.3821302207235773,2.875006161476068,2.087947622554154,0.9946537181047876,1.2028354181507384,0.08894091728075537,3.231936135069846,3.3570364925620044,2.986446117691388,-896.4822262938535,-908.194,11.71177370614646,73.5197399882991,84.32690352037062,10.807163532071527,3.425429635528876,3.2335388644291196,2.9335095046083115,3.0465253959421235,1.58969,2024-04-25,72,-1.835739635528876,Consumer Price Index
2024-02-15,2024-03-31,2.6961493962482486,1.2250068937743386,3.428436451557193,2.4403719454487494,1.6679273134776018,1.9321111927085743,-0.46630373078850873,6.035558254871964,-1.2256737073602308,0.7705717652328525,2.3702669723102865,2.87511262368334,2.0689611615667847,0.7853840194660178,0.9767107819035337,-0.047272688964827836,2.759874088044212,2.7181661626757725,2.841866717247865,-897.6193325932194,-908.194,10.574667406780577,65.04408684481494,72.6639666557535,7.619879810938556,2.86354816382548,2.729194734790852,2.465540106623876,2.4850291278601278,1.58969,2024-04-25,70,-1.27385816382548,"Retail trade, Import/Export Prices,
Industrial production"
2024-02-16,2024-03-31,2.690641221729839,1.2323697255443467,3.4164702937335534,2.469128134268761,1.6967030882879763,1.8927619294395681,-0.5299257054274364,6.034819296430416,-1.2902887665420804,1.0300100457014016,2.3675448678556865,2.875769793423455,2.064228216612074,0.7249900555612587,0.9082512157134959,-0.07269165491023966,2.6982310937300413,2.6339099349166117,2.8247095533644684,-897.4852406736505,-908.194,10.708759326349423,65.04408684481494,72.66684777296047,7.622760928145524,2.8660872580219765,2.7316848804759486,2.466365691919581,2.4865807419634622,1.58969,2024-04-25,69,-1.2763972580219765,"Housing starts, Producer Price Index"
2024-02-22,2024-03-31,2.693042867497697,1.2335814140219004,3.4194688506841375,2.6596617202938155,1.889404119679905,1.9043887763249945,-0.5088043477703197,6.034769176419474,-1.2744794338671261,1.8382980609619848,2.368317461967928,2.875735740504348,2.0654807985154067,0.7476673207311268,0.9341049874670437,-0.06379000065825924,2.7184632316823665,2.6613389102999596,2.8307813593812847,-897.5537022417551,-908.194,10.640297758244856,65.04408684481494,72.66684777296047,7.622760928145524,2.9007337904330077,2.7664009328637773,2.500998070694571,2.5281436042002836,1.58969,2024-04-25,63,-1.3110437904330077,Existing-home sales
